Count,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Ema_Acc,Ema_Gyr,Activity
1,1386,405,-999,-35,-261,116,755,191,1
2,1467,686,-876,-61,-333,58,841,222,1
3,1474,944,-638,-62,-374,-42,863,253,1
4,1423,1021,-456,17,-382,-155,809,285,1
5,1443,968,-352,67,-382,-244,772,320,1
6,1459,990,-253,57,-382,-336,781,358,1
7,1583,1122,-205,96,-337,-423,951,396,1
8,1966,1400,-333,185,-269,-474,1436,432,1
9,2602,1438,-428,242,-251,-568,2003,478,1
10,2372,675,-51,166,-416,-772,1466,561,1
11,1881,420,167,108,-366,-914,934,647,1
12,1756,349,287,232,-171,-906,813,707,1
13,1788,-92,265,298,-92,-899,809,756,1
16,1687,-865,-264,87,52,-831,914,823,1
17,1463,-1840,-649,-74,8,-717,1438,802,1
18,1161,-2898,-1009,-244,-209,-498,2280,760,1
19,1465,-3236,-507,-45,56,167,2588,644,1
20,532,-1440,-963,48,180,300,812,586,1
21,986,-1164,-563,133,201,605,626,599,1
22,1162,-589,-971,70,139,632,624,609,1
23,990,-204,-653,-126,56,602,203,610,1
24,870,107,-368,-262,2,540,49,608,1
25,727,571,-275,-230,47,533,35,603,1
26,680,493,-283,-143,130,520,113,593,1
27,670,260,-403,-201,168,464,176,581,1
28,709,407,-290,-308,146,458,132,578,1
29,684,400,-205,-248,125,412,181,562,1
30,804,346,-355,-242,173,381,55,546,1
31,1052,528,-361,-329,222,396,231,549,1
32,1089,546,-337,-300,225,361,263,543,1
33,1163,299,-377,-339,223,321,258,538,1
34,1247,418,-233,-442,206,337,335,548,1
35,1394,561,-138,-354,246,379,508,553,1
36,1545,489,-232,-295,274,391,637,555,1
37,1533,495,-318,-341,296,369,642,560,1
38,1634,684,-297,-356,305,347,796,565,1
39,1587,825,-278,-262,271,309,810,549,1
40,1427,793,-301,-140,216,240,660,509,1
41,1398,680,-373,-64,189,172,598,460,1
42,1354,537,-411,-67,154,116,513,409,1
43,1251,466,-403,-118,112,61,394,361,1
44,1140,468,-367,-143,94,25,285,323,1
45,1092,448,-364,-134,90,7,235,291,1
46,1058,460,-362,-109,72,6,209,259,1
47,1059,498,-338,-59,52,13,218,223,1
48,1076,477,-360,-8,27,4,230,184,1
49,1083,436,-349,-6,-7,-26,218,152,1
50,1101,439,-315,-30,-36,-68,226,138,1
51,1114,432,-267,-29,-51,-110,224,135,1
52,1127,405,-223,-8,-71,-146,218,140,1
53,1124,372,-180,18,-94,-170,197,151,1
54,1103,334,-139,47,-112,-185,160,165,1
55,1047,287,-92,76,-122,-191,89,180,1
56,968,243,-62,97,-110,-184,0,191,1
57,900,203,-60,103,-77,-165,75,194,1
58,869,174,-77,96,-30,-137,110,189,1
59,853,157,-113,76,4,-109,125,178,1
60,832,170,-138,54,16,-88,139,163,1
61,791,195,-144,48,18,-72,172,148,1
62,747,198,-153,51,18,-59,212,134,1
63,734,188,-150,52,16,-48,227,122,1
64,801,181,-140,46,15,-30,166,108,1
65,947,180,-117,36,16,-6,142,94,1
